SGPA7.95||||||
Winter Semester 2017-2018Roll NO :B160345CSSemester :IV||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
23|CS2004|COMPUTER ORGANIZATION|4|B|N|PASS
24|MA2002|MATHEMATICS - IV|3|A|N|PASS
25|CS2005|DATA STRUCTURES AND ALGORITHMS|4|A|H|PASS
26|CS2006|DISCRETE STRUCTURES|4|D|N|PASS
27|CS2093|HARDWARE LABORATORY|3|A|H|PASS
28|CS2094|DATA STRUCTURES LABORATORY|3|A|H|PASS
29|ZZ1094|OT(VALUE EDUCATION)|1|P|N|PASS
SGPA8.24||||||
Monsoon Semester 2018-2019Roll NO :B160345CSSemester :V||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
30|CS3003|OPERATING SYSTEMS|4|B|H|PASS
31|CS3002|DATABASE MANAGEMENT SYSTEMS|4|B|H|PASS
32|CS3092|OPERATING SYSTEMS LABORATORY|3|S|H|PASS
33|CS4023|COMPUTATIONAL INTELLIGENCE|4|A|H|PASS
34|CS4050|DESIGN AND ANALYSIS OF ALGORITHMS|4|C|H|PASS
35|CS3001|THEORY OF COMPUTATION|4|B|H|PASS
SGPA8.26||||||
Winter Semester 2018-2019Roll NO :B160345CSSemester :VI||||||
Sl.NO|Course Code|Course   Name|Credits|Grade|Attendance|Result
36|CS3005|COMPILER DESIGN|4|B|N|PASS
37|CS3093|NETWORK LAB|3|A|H|PASS
38|CS4027|TOPICS IN ALGORITHMS|4|S|H|PASS
39|CS3091|COMPILER LABORATORY|3|A|H|PASS
40|CS3006|COMPUTER NETWORKS|4|B|H|PASS
41|CS3004|SOFTWARE ENGINEERING|4|C|H|PASS
SGPA8.45||||||
||||||
